EmpID,Age,AgeGroup,Education,EducationField,Gender,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobLevel,JobRole,MaritalStatus
RM297,18,18-25,3,Life Sciences,Male,0,0,0,0,0.0,1,Laboratory Technician,Single
RM302,18,18-25,3,Medical,Female,0,0,0,0,0.0,1,Sales Representative,Single
RM458,18,18-25,3,Marketing,Male,0,0,0,0,0.0,1,Sales Representative,Single
RM728,18,18-25,2,Life Sciences,Male,0,0,0,0,0.0,1,Research Scientist,Single
RM829,18,18-25,1,Medical,Male,0,0,0,0,0.0,1,Laboratory Technician,Single
RM973,18,18-25,3,Life Sciences,Female,0,0,0,0,0.0,1,Laboratory Technician,Single
RM1154,18,18-25,2,Medical,Female,0,0,0,0,0.0,1,Sales Representative,Single
RM1312,18,18-25,3,Medical,Female,0,0,0,0,0.0,1,Research Scientist,Single
RM128,19,18-25,1,Marketing,Male,0,0,0,0,0.0,1,Sales Representative,Single
RM150,19,18-25,1,Medical,Female,1,1,0,0,0.0,1,Laboratory Technician,Single
RM172,19,18-25,1,Technical Degree,Female,1,0,0,0,0.0,1,Sales Representative,Single
RM178,19,18-25,3,Life Sciences,Male,1,1,0,1,0.0,1,Laboratory Technician,Single
RM423,19,18-25,2,Technical Degree,Male,1,1,0,0,0.0,1,Human Resources,Single
RM689,19,18-25,3,Other,Male,1,1,0,0,0.0,1,Sales Representative,Single
RM854,19,18-25,2,Life Sciences,Male,1,1,1,0,0.0,1,Research Scientist,Single
RM893,19,18-25,3,Medical,Female,1,1,1,0,0.0,1,Research Scientist,Single
RM910,19,18-25,3,Life Sciences,Female,1,1,0,0,1.0,1,Research Scientist,Single
RM103,20,18-25,3,Life Sciences,Female,1,1,0,1,0.0,1,Laboratory Technician,Single
RM488,20,18-25,3,Life Sciences,Female,1,1,0,0,0.0,1,Research Scientist,Single
RM514,20,18-25,1,Medical,Male,1,1,0,1,1.0,1,Research Scientist,Single
RM663,20,18-25,3,Medical,Female,2,2,2,0,2.0,1,Sales Representative,Single
RM690,20,18-25,3,Technical Degree,Male,1,1,0,0,0.0,1,Laboratory Technician,Single
RM732,20,18-25,3,Medical,Female,1,1,0,0,0.0,1,Research Scientist,Single
RM777,20,18-25,3,Marketing,Female,2,2,2,0,2.0,1,Sales Representative,Single
RM857,20,18-25,3,Life Sciences,Male,2,2,2,1,2.0,1,Laboratory Technician,Single
RM877,20,18-25,3,Marketing,Male,2,2,1,2,2.0,1,Sales Representative,Single
RM1179,20,18-25,3,Medical,Female,2,2,2,2,2.0,1,Sales Representative,Single
RM1198,20,18-25,1,Life Sciences,Male,2,2,2,0,2.0,1,Sales Representative,Single
RM024,21,18-25,2,Life Sciences,Male,0,0,0,0,3.0,1,Research Scientist,Single
RM275,21,18-25,2,Medical,Male,3,3,2,1,0.0,1,Research Scientist,Single
RM358,21,18-25,1,Technical Degree,Female,3,3,2,1,2.0,1,Sales Representative,Single
RM363,21,18-25,2,Medical,Male,3,3,2,2,3.0,1,Sales Representative,Single
RM371,21,18-25,3,Life Sciences,Female,1,1,0,0,0.0,1,Sales Representative,Single
RM497,21,18-25,1,Technical Degree,Male,3,3,2,1,2.0,1,Sales Representative,Single
RM664,21,18-25,1,Other,Female,1,1,0,0,0.0,1,Research Scientist,Single
RM778,21,18-25,3,Life Sciences,Female,1,1,0,1,0.0,1,Laboratory Technician,Single
RM816,21,18-25,1,Technical Degree,Female,2,2,2,2,2.0,1,Research Scientist,Single
RM916,21,18-25,2,Life Sciences,Female,2,2,2,2,2.0,1,Laboratory Technician,Single
RM1153,21,18-25,1,Medical,Male,3,2,2,2,2.0,1,Research Scientist,Single
RM1272,21,18-25,1,Marketing,Male,1,1,0,1,0.0,1,Sales Representative,Single
RM1437,21,18-25,1,Medical,Male,2,2,2,1,2.0,1,Sales Representative,Single
RM018,22,18-25,2,Medical,Male,1,1,0,0,0.0,1,Laboratory Technician,Divorced
RM110,22,18-25,3,Medical,Female,1,0,0,0,0.0,1,Laboratory Technician,Single
RM129,22,18-25,1,Technical Degree,Male,3,2,1,2,1.0,1,Laboratory Technician,Married
RM161,22,18-25,1,Medical,Male,2,2,2,2,2.0,1,Research Scientist,Married
RM207,22,18-25,3,Life Sciences,Male,4,4,2,2,3.0,1,Research Scientist,Divorced
RM384,22,18-25,3,Medical,Female,2,2,1,1,2.0,1,Research Scientist,Married
RM444,22,18-25,1,Technical Degree,Male,4,2,2,1,2.0,1,Laboratory Technician,Single
RM499,22,18-25,1,Medical,Male,3,2,2,2,2.0,1,Research Scientist,Married
RM631,22,18-25,2,Life Sciences,Male,4,2,2,2,2.0,2,Manufacturing Director,Married
RM667,22,18-25,1,Life Sciences,Female,4,3,2,0,2.0,2,Manufacturing Director,Married
RM735,22,18-25,1,Life Sciences,Male,4,4,3,1,1.0,1,Laboratory Technician,Married
RM861,22,18-25,4,Life Sciences,Male,1,0,0,0,0.0,1,Research Scientist,Married
RM1138,22,18-25,2,Other,Female,4,4,2,1,3.0,1,Research Scientist,Married
RM1274,22,18-25,1,Medical,Female,1,1,0,0,0.0,1,Laboratory Technician,Married
RM1340,22,18-25,1,Life Sciences,Male,1,1,0,0,0.0,1,Research Scientist,Single
RM1424,22,18-25,2,Life Sciences,Male,4,3,2,1,2.0,1,Research Scientist,Single
RM087,23,18-25,1,Technical Degree,Male,3,0,0,0,0.0,1,Sales Representative,Divorced
RM346,23,18-25,1,Life Sciences,Male,4,4,2,0,2.0,1,Research Scientist,Divorced
RM517,23,18-25,3,Medical,Male,5,3,2,0,2.0,1,Research Scientist,Married
RM551,23,18-25,1,Medical,Male,5,4,3,0,2.0,1,Laboratory Technician,Married
RM566,23,18-25,1,Medical,Male,2,2,2,0,2.0,1,Research Scientist,Single
RM586,23,18-25,3,Life Sciences,Male,1,0,0,0,0.0,1,Laboratory Technician,Married
RM911,23,18-25,2,Life Sciences,Male,1,1,0,0,1.0,1,Research Scientist,Married
RM1083,23,18-25,1,Life Sciences,Male,5,4,3,1,2.0,2,Laboratory Technician,Single
RM1128,23,18-25,3,Technical Degree,Male,4,2,2,2,2.0,1,Research Scientist,Married
RM1202,23,18-25,1,Medical,Male,5,5,4,1,2.0,1,Laboratory Technician,Single
RM1214,23,18-25,3,Life Sciences,Male,3,3,2,0,2.0,1,Sales Representative,Divorced
RM1239,23,18-25,1,Medical,Female,3,3,2,1,2.0,1,Laboratory Technician,Single
RM1409,23,18-25,2,Other,Male,5,5,2,1,4.0,1,Laboratory Technician,Single
RM1439,23,18-25,3,Marketing,Male,1,1,0,1,0.0,1,Sales Representative,Married
RM021,24,18-25,2,Other,Female,5,4,2,1,3.0,2,Manufacturing Director,Divorced
RM035,24,18-25,3,Medical,Male,6,2,0,2,0.0,1,Research Scientist,Married
RM097,24,18-25,2,Other,Female,4,3,2,0,2.0,2,Sales Executive,Married
RM114,24,18-25,1,Life Sciences,Male,6,5,3,1,2.0,1,Laboratory Technician,Married
RM381,24,18-25,4,Marketing,Female,5,5,2,0,3.0,2,Sales Executive,Divorced
RM415,24,18-25,1,Technical Degree,Female,6,5,3,1,4.0,1,Sales Representative,Single
RM471,24,18-25,3,Medical,Male,3,2,2,2,1.0,1,Sales Representative,Married
RM475,24,18-25,3,Medical,Male,6,6,5,1,4.0,1,Research Scientist,Married
RM477,24,18-25,2,Other,Male,1,1,0,0,0.0,1,Laboratory Technician,Married
RM480,24,18-25,3,Life Sciences,Female,6,6,3,1,2.0,1,Laboratory Technician,Married
RM526,24,18-25,2,Life Sciences,Female,4,2,2,2,0.0,2,Sales Executive,Single
RM587,24,18-25,3,Life Sciences,Male,1,1,0,0,0.0,1,Laboratory Technician,Divorced
RM641,24,18-25,1,Life Sciences,Male,6,5,2,3,4.0,1,Laboratory Technician,Married
RM725,24,18-25,1,Medical,Female,5,4,2,3,2.0,2,Manufacturing Director,Divorced
RM842,24,18-25,3,Medical,Male,6,4,3,1,2.0,1,Laboratory Technician,Single
RM872,24,18-25,2,Life Sciences,Female,1,1,0,0,0.0,1,Laboratory Technician,Married
RM1026,24,18-25,1,Medical,Female,5,5,4,0,3.0,2,Sales Executive,Married
RM1061,24,18-25,3,Medical,Male,4,0,0,0,0.0,1,Laboratory Technician,Single
RM1062,24,18-25,2,Life Sciences,Female,1,1,0,0,0.0,1,Sales Representative,Married
RM1098,24,18-25,2,Technical Degree,Male,2,1,1,0,0.0,1,Laboratory Technician,Divorced
RM1169,24,18-25,1,Technical Degree,Female,6,6,3,1,3.0,1,Research Scientist,Single
RM1218,24,18-25,3,Medical,Male,5,5,3,0,4.0,1,Research Scientist,Married
RM1223,24,18-25,1,Human Resources,Male,1,1,0,0,0.0,1,Human Resources,Married
RM1231,24,18-25,1,Medical,Male,6,6,2,1,2.0,1,Laboratory Technician,Divorced
RM1246,24,18-25,3,Medical,Male,3,2,2,2,1.0,1,Human Resources,Married
RM1408,24,18-25,2,Life Sciences,Male,4,4,3,1,2.0,2,Healthcare Representative,Single
RM108,25,18-25,3,Marketing,Male,6,6,4,0,3.0,2,Sales Executive,Single
RM109,25,18-25,1,Medical,Male,2,2,2,2,1.0,1,Research Scientist,Married
RM139,25,18-25,3,Life Sciences,Male,6,2,2,2,3.0,2,Sales Executive,Married
RM256,25,18-25,3,Life Sciences,Female,5,4,2,1,3.0,2,Manufacturing Director,Married
RM268,25,18-25,2,Life Sciences,Male,6,6,3,1,5.0,2,Healthcare Representative,Divorced
RM398,25,18-25,2,Life Sciences,Female,5,5,4,1,3.0,2,Sales Executive,Single
RM406,25,18-25,3,Medical,Male,6,2,2,0,3.0,1,Laboratory Technician,Married
RM479,25,18-25,1,Medical,Male,7,7,4,0,6.0,1,Sales Representative,Married
RM518,25,18-25,3,Life Sciences,Male,4,3,2,1,2.0,2,Sales Executive,Married
RM564,25,18-25,1,Medical,Female,6,6,5,1,4.0,2,Sales Executive,Single
RM619,25,18-25,1,Medical,Male,6,4,3,0,1.0,1,Research Scientist,Single
RM635,25,18-25,1,Other,Male,5,5,3,0,3.0,2,Sales Executive,Married
RM639,25,18-25,1,Marketing,Male,5,5,2,0,3.0,2,Sales Executive,Married
RM684,25,18-25,2,Marketing,Male,1,1,0,0,0.0,1,Sales Representative,Married
RM797,25,18-25,1,Technical Degree,Male,7,7,7,5,6.0,1,Laboratory Technician,Married
RM886,25,18-25,4,Life Sciences,Male,5,4,3,1,1.0,2,Sales Executive,Single
RM912,25,18-25,1,Life Sciences,Male,1,1,0,1,0.0,1,Sales Representative,Single
RM935,25,18-25,3,Medical,Female,2,2,2,2,1.0,1,Research Scientist,Single
RM966,25,18-25,1,Medical,Male,7,3,2,1,2.0,1,Laboratory Technician,Married
RM994,25,18-25,1,Life Sciences,Male,6,3,2,1,2.0,2,Sales Executive,Married
RM1004,25,18-25,3,Technical Degree,Male,7,3,2,0,2.0,1,Laboratory Technician,Married
RM1022,25,18-25,2,Life Sciences,Male,6,3,2,2,2.0,1,Sales Representative,Married
RM1175,25,18-25,1,Life Sciences,Male,7,7,7,0,7.0,2,Manufacturing Director,Divorced
RM1412,25,18-25,3,Human Resources,Female,6,2,0,1,2.0,1,Human Resources,Married
RM1414,25,18-25,1,Other,Male,7,2,2,0,2.0,1,Laboratory Technician,Divorced
RM1434,25,18-25,2,Other,Female,6,5,3,0,4.0,2,Sales Executive,Divorced
RM043,26,26-35,3,Life Sciences,Male,1,1,0,0,1.0,1,Laboratory Technician,Single
